dataset_name,language,model_name,error_category,count,share,mean_wer,mean_cleaned_wer,example_reference,example_hypothesis,recommendation
AMI Meeting Corpus,en,base,disfluency_or_style_error,14,0.500000,0.315848,0.221154,um,,Report cleaned WER separately; do not optimize RAG for this category.
AMI Meeting Corpus,en,base,function_word_error,4,0.142857,0.315848,0.221154,our,,Use stronger ASR/context; glossary RAG should usually avoid this.
AMI Meeting Corpus,en,base,omission_or_insertion,6,0.214286,0.315848,0.221154,,great,Inspect audio and segment boundaries; consider VAD/chunking changes.
AMI Meeting Corpus,en,base,semantic_word_error,4,0.142857,0.315848,0.221154,this is,it's,"Collect more examples, then decide whether ASR API or targeted RAG helps."
AMI Meeting Corpus,en,tiny,disfluency_or_style_error,16,0.444444,0.344866,0.250000,um,,Report cleaned WER separately; do not optimize RAG for this category.
AMI Meeting Corpus,en,tiny,function_word_error,4,0.111111,0.344866,0.250000,our,,Use stronger ASR/context; glossary RAG should usually avoid this.
AMI Meeting Corpus,en,tiny,omission_or_insertion,6,0.166667,0.344866,0.250000,kind of,,Inspect audio and segment boundaries; consider VAD/chunking changes.
AMI Meeting Corpus,en,tiny,semantic_word_error,10,0.277778,0.344866,0.250000,this is,it's,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Earnings-22,en,base,date_time_error,1,0.018519,0.227642,0.227642,end of,in the,Use stronger ASR or audio-backed verification; RAG alone is weak here.
Earnings-22,en,base,disfluency_or_style_error,28,0.518519,0.227642,0.227642,gonna,going to,Report cleaned WER separately; do not optimize RAG for this category.
Earnings-22,en,base,domain_term_error,2,0.037037,0.227642,0.227642,double-digit,double digit,Use a predeclared finance glossary plus conservative LLM verifier.
Earnings-22,en,base,function_word_error,13,0.240741,0.227642,0.227642,,the,Use stronger ASR/context; glossary RAG should usually avoid this.
Earnings-22,en,base,number_unit_error,1,0.018519,0.227642,0.227642,cents a,seems to,Add numeric-unit candidate rules and verify against local context/audio.
Earnings-22,en,base,omission_or_insertion,2,0.037037,0.227642,0.227642,here,,Inspect audio and segment boundaries; consider VAD/chunking changes.
Earnings-22,en,base,semantic_word_error,7,0.129630,0.227642,0.227642,notice at,notes of,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Earnings-22,en,tiny,date_time_error,1,0.016949,0.249322,0.249322,end of 30,in the 3d,Use stronger ASR or audio-backed verification; RAG alone is weak here.
Earnings-22,en,tiny,disfluency_or_style_error,27,0.457627,0.249322,0.249322,gonna,going to,Report cleaned WER separately; do not optimize RAG for this category.
Earnings-22,en,tiny,domain_term_error,4,0.067797,0.249322,0.249322,operations,operation,Use a predeclared finance glossary plus conservative LLM verifier.
Earnings-22,en,tiny,function_word_error,11,0.186441,0.249322,0.249322,,the,Use stronger ASR/context; glossary RAG should usually avoid this.
Earnings-22,en,tiny,number_unit_error,2,0.033898,0.249322,0.249322,at,has,Add numeric-unit candidate rules and verify against local context/audio.
Earnings-22,en,tiny,omission_or_insertion,2,0.033898,0.249322,0.249322,here,,Inspect audio and segment boundaries; consider VAD/chunking changes.
Earnings-22,en,tiny,semantic_word_error,12,0.203390,0.249322,0.249322,notice,notes,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,en,base,function_word_error,1,0.125000,0.154242,0.154242,in,and,Use stronger ASR/context; glossary RAG should usually avoid this.
Google FLEURS,en,base,semantic_word_error,7,0.875000,0.154242,0.154242,javanese,japanese,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,en,tiny,omission_or_insertion,1,0.083333,0.296212,0.296212,singing,,Inspect audio and segment boundaries; consider VAD/chunking changes.
Google FLEURS,en,tiny,semantic_word_error,11,0.916667,0.296212,0.296212,you are,you're,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,fr,base,semantic_word_error,18,1.000000,0.273839,0.273839,telles,dès,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,fr,tiny,omission_or_insertion,1,0.040000,0.438703,0.438703,le,,Inspect audio and segment boundaries; consider VAD/chunking changes.
Google FLEURS,fr,tiny,semantic_word_error,24,0.960000,0.438703,0.438703,telles,dès,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,zh-CN,base,semantic_word_error,5,1.000000,0.089651,0.089651,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,报告就告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,"Collect more examples, then decide whether ASR API or targeted RAG helps."
Google FLEURS,zh-CN,tiny,semantic_word_error,5,1.000000,0.276133,0.276133,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱,报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走下混乱,"Collect more examples, then decide whether ASR API or targeted RAG helps."
